,hard%,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),E,classification
0,1.689197569,2022-1-7,202,slump,80630,1362,1,3,23,39,24,9,1,0.309432961,1
1,1.736894476,2022-1-8,203,crank,101503,1763,1,5,23,31,24,14,2,0.371605146,1
2,2.091236048,2022-1-9,204,gorge,91477,1913,1,3,13,27,30,22,4,0.276413761,2
3,2.09270633,2022-1-10,205,query,107134,2242,1,4,16,30,30,17,2,0.168624893,1
4,1.960618664,2022-1-11,206,drink,153880,3017,1,9,35,34,16,5,1,0.315841926,1
5,2.233512131,2022-1-12,207,favor,137586,3073,1,4,15,26,29,21,4,0.216066945,1
6,2.520229646,2022-1-13,208,abbey,132726,3345,1,2,13,29,31,20,3,0.404052338,2
7,2.351254396,2022-1-14,209,tangy,169484,3985,1,4,21,30,24,15,5,0.444081174,1
8,2.26102584,2022-1-15,210,panic,205880,4655,1,9,35,34,16,5,1,0.344253038,1
9,2.363925213,2022-1-16,211,solar,209609,4955,1,9,32,32,18,7,1,0.422004389,1
10,2.538288096,2022-1-17,212,shire,222197,5640,1,8,32,32,18,8,2,0.39302433,1
11,2.808780267,2022-1-18,213,proxy,220950,6206,1,2,11,24,31,26,6,0.263774902,1
12,2.527955755,2022-1-19,214,point,280622,7094,1,16,37,28,12,4,1,0.327773549,1
13,2.700808316,2022-1-20,215,robot,243964,6589,1,8,29,34,20,8,1,0.428903354,2
14,2.706711431,2022-1-21,216,prick,273727,7409,1,8,30,33,19,7,1,0.310132442,1
15,2.836568125,2022-1-22,217,wince,241489,6850,1,3,17,33,29,15,3,0.235587418,1
16,2.826669235,2022-1-23,218,crimp,269929,7630,1,5,28,38,20,7,1,0.309476825,1
17,3.223168681,2022-1-24,219,knoll,258038,8317,1,1,11,29,33,21,4,0.218494538,2
18,3.15046092,2022-1-25,220,sugar,276404,8708,1,6,25,34,23,9,1,0.360219338,1
19,3.361358435,2022-1-26,221,whack,302348,10163,1,4,22,37,24,10,2,0.215626062,1
20,3.450717807,2022-1-27,222,mount,331844,11451,1,9,29,33,19,7,1,0.301839372,1
21,3.753939818,2022-1-28,223,perky,296968,11148,1,4,17,30,27,17,4,0.343261756,1
22,3.700913096,2022-1-29,224,could,313220,11592,1,7,29,35,20,8,1,0.311607013,1
23,3.91058988,2022-1-30,225,wrung,294687,11524,0,2,18,39,27,12,2,0.213334004,1
24,3.910475398,2022-1-31,226,light,341314,13347,1,10,25,27,19,12,5,0.3336942,1
25,3.86904508,2022-2-1,227,those,351663,13606,1,13,34,30,15,6,1,0.451965198,1
26,3.925030671,2022-2-2,228,moist,361908,14205,3,13,32,29,16,7,1,0.313965081,1
27,4.078721076,2022-2-3,229,shard,358176,14609,1,7,22,28,25,14,4,0.391674811,1
28,4.118394457,2022-2-4,230,pleat,359679,14813,1,10,28,31,19,9,2,0.344814537,1
29,4.287796608,2022-2-5,231,aloft,319698,13708,1,4,22,36,25,11,2,0.451113895,1
30,4.410034146,2022-2-6,232,skill,311018,13716,1,3,17,33,27,16,3,0.330072034,2
31,4.628280389,2022-2-7,233,elder,288228,13340,1,3,13,24,30,24,5,0.537200486,2
32,4.570896632,2022-2-8,234,frame,336236,15369,1,10,20,24,24,17,3,0.276807962,1
33,4.534141965,2022-2-9,235,humor,305372,13846,1,5,22,34,25,11,2,0.323114583,1
34,4.422136929,2022-2-10,236,pause,304830,13480,1,8,26,32,21,10,2,0.340541405,1
35,3.812772123,2022-2-11,237,ulcer,278826,10631,1,4,18,30,28,16,3,0.327496851,1
36,3.44961743,2022-2-12,238,ultra,269885,9310,1,7,23,34,24,10,1,0.317915034,1
37,1.170933179,2022-2-13,239,robin,277471,3249,1,6,29,34,21,8,1,0.450078842,1
38,3.954940521,2022-2-14,240,cynic,261521,10343,1,6,25,33,22,11,2,0.264105103,2
39,3.593365667,2022-2-15,241,aroma,287836,10343,1,6,25,33,22,11,2,0.521867644,2
40,3.70701468,2022-2-16,242,caulk,289721,10740,1,4,20,31,26,15,3,0.294781358,1
41,3.73300819,2022-2-17,243,shake,342003,12767,1,6,16,23,24,21,9,0.360198134,1
42,3.853143215,2022-2-18,244,dodge,265238,10220,1,3,15,29,27,19,7,0.25213228,2
43,3.981553305,2022-2-19,245,swill,282327,11241,1,1,8,19,31,30,10,0.324850025,2
44,4.059186406,2022-2-20,246,tacit,273306,11094,1,4,21,32,26,14,3,0.407268218,2
45,3.905916457,2022-2-21,247,other,278731,10887,1,9,26,30,21,10,2,0.474362546,1
46,3.856297902,2022-2-22,248,thorn,306356,11814,1,14,38,30,12,4,0,0.419252582,1
47,4.110946191,2022-2-23,249,trove,277576,11411,1,5,16,24,25,22,8,0.41362337,1
48,4.150809418,2022-2-24,250,bloke,250674,10405,1,6,21,32,25,12,2,0.232932262,1
49,4.566893442,2022-2-25,251,vivid,255907,11687,1,2,10,29,33,21,4,0.176663209,3
50,4.061394008,2022-2-26,252,spill,248363,10087,1,5,26,34,22,10,2,0.346038399,2
51,4.168313945,2022-2-27,253,chant,250413,10438,1,9,33,33,16,7,1,0.380865558,1
52,4.190064279,2022-2-28,254,choke,251094,10521,1,8,30,36,18,6,1,0.336667443,1
53,4.404569058,2022-3-1,255,rupee,240137,10577,1,2,17,35,30,13,2,0.41593951,2
54,4.202422038,2022-3-2,256,nasty,257304,10813,1,7,26,31,21,11,2,0.402764668,1
55,4.36008966,2022-3-3,257,mourn,240018,10465,1,8,29,34,19,8,1,0.289526995,1
56,4.611986453,2022-3-4,258,ahead,203730,9396,1,5,20,35,26,12,2,0.441161362,2
57,4.525979251,2022-3-5,259,brine,229895,10405,1,9,25,29,22,12,3,0.297332673,1
58,4.533955488,2022-3-6,260,cloth,218595,9911,1,8,33,34,17,7,1,0.321126818,1
59,4.493698392,2022-3-7,261,hoard,218595,9823,1,9,30,34,19,7,1,0.341190639,1
60,4.707600507,2022-3-8,262,sweet,207473,9767,1,5,18,31,28,15,2,0.333322292,2
61,4.675444378,2022-3-9,263,month,201799,9435,1,5,26,37,22,8,1,0.312025085,1
62,4.768196702,2022-3-10,264,lapse,208884,9960,0,8,31,34,19,7,1,0.429062151,1
63,5.478265864,2022-3-11,265,watch,226349,12400,1,6,14,18,17,24,20,0.233224725,1
64,4.870111274,2022-3-12,266,today,192049,9353,1,7,29,35,20,7,1,0.385393719,1
65,4.980605898,2022-3-13,267,focus,179436,8937,1,4,23,36,24,10,1,0.205713718,1
66,5.055391951,2022-3-14,268,smelt,185406,9373,0,5,19,33,28,13,2,0.33452897,1
67,4.941460649,2022-3-15,269,tease,202855,10024,1,16,32,30,16,6,1,0.500096288,2
68,5.156617215,2022-3-16,270,cater,217856,11234,1,7,19,22,19,18,15,0.414922315,1
69,5.232712884,2022-3-17,271,movie,169071,8847,1,5,18,30,26,16,3,0.258523053,1
70,5.173775232,2022-3-18,272,saute,179830,9304,1,8,31,34,19,6,1,0.358094969,1
71,5.447473306,2022-3-19,273,allow,156311,8515,0,5,21,32,26,14,3,0.494099633,2
72,5.430778065,2022-3-20,274,renew,154987,8417,0,4,20,33,27,13,2,0.47884669,2
73,5.298440416,2022-3-21,275,their,173636,9200,2,14,36,30,13,4,0,0.400875183,1
74,5.49884179,2022-3-22,276,slosh,160161,8807,0,2,19,36,27,13,2,0.362947968,2
75,5.456516886,2022-3-23,277,purge,156785,8555,1,4,22,35,26,11,2,0.285242986,1
76,5.511457064,2022-3-24,278,chest,169066,9318,1,14,35,31,14,5,1,0.425706869,1
77,5.700513326,2022-3-25,279,depot,150197,8562,0,5,29,36,20,7,1,0.286159592,1
78,6.271278268,2022-3-26,280,epoxy,149507,9376,0,2,13,31,33,18,3,0.401525448,1
79,6.004182078,2022-3-27,281,nymph,165468,9935,1,2,18,44,26,26,9,0.268648391,1
80,6.110100405,2022-3-28,282,found,173696,10613,1,6,17,22,20,21,14,0.228658474,1
81,5.697994231,2022-3-29,283,shall,149070,8494,0,3,17,30,28,17,4,0.394437154,2
82,5.892284636,2022-3-30,284,stove,158139,9318,0,5,16,24,27,21,6,0.363607338,1
83,6.263173075,2022-3-31,285,lowly,135219,8469,0,2,9,26,32,24,8,0.368790719,2
84,6.161854986,2022-4-1,286,snout,144648,8913,1,4,19,27,26,18,5,0.316139811,1
85,6.006615983,2022-4-2,287,trope,155079,9315,1,16,33,28,15,6,1,0.428202177,1
86,6.368644204,2022-4-3,288,fewer,124532,7931,0,2,10,24,32,26,6,0.261152163,2
87,6.126447154,2022-4-4,289,shawl,129651,7943,0,3,16,31,30,16,3,0.325964758,1
88,6.346616566,2022-4-5,290,natal,121356,7702,0,2,14,32,32,17,3,0.413626979,2
89,6.414607657,2022-4-6,291,comma,117856,7560,0,2,13,33,33,17,3,0.314375927,2
90,6.432520104,2022-4-7,292,foray,117761,7575,0,2,14,31,31,19,4,0.271572753,1
91,6.382918432,2022-4-8,293,scare,141158,9010,1,12,23,26,21,13,4,0.42998211,1
92,6.360926906,2022-4-9,294,stair,134210,8537,2,21,36,26,11,4,1,0.389085928,1
93,6.253119034,2022-4-10,295,black,126241,7894,1,10,31,34,18,6,1,0.240761995,1
94,6.588483811,2022-4-11,296,squad,109828,7236,0,3,20,33,27,14,2,0.277014462,1
95,6.331206976,2022-4-12,297,royal,114907,7275,1,5,24,36,23,9,1,0.435244057,1
96,6.356740092,2022-4-13,298,chunk,123255,7835,1,4,29,42,18,5,1,0.317980529,1
97,6.484027925,2022-4-14,299,mince,113448,7356,0,6,24,35,24,10,1,0.300686477,1
98,6.555838481,2022-4-15,300,shame,129991,8522,1,11,22,25,21,15,5,0.380961404,1
99,6.514673062,2022-4-16,301,cheek,107987,7035,0,3,19,40,28,9,1,0.326038338,2
100,6.569117275,2022-4-17,302,ample,106681,7008,0,4,20,35,27,11,2,0.454223322,1
101,6.532126745,2022-4-18,303,flair,112383,7341,1,8,30,36,18,6,1,0.257211241,1
102,7.528076475,2022-4-19,304,foyer,108899,8198,0,2,10,19,19,23,26,0.246046046,1
103,6.662287882,2022-4-20,305,cargo,102007,6796,0,5,20,34,27,12,2,0.345111604,1
104,7.105303456,2022-4-21,306,oxide,97955,6960,0,2,11,30,33,21,4,0.378375195,1
105,6.483997585,2022-4-22,307,plant,119232,7731,2,19,39,28,10,3,0,0.34845496,1
106,6.783030912,2022-4-23,308,olive,95562,6482,1,6,25,34,23,10,1,0.422930952,1
107,6.919303862,2022-4-24,309,inert,97452,6743,0,7,27,34,22,9,1,0.467042336,1
108,7.153624328,2022-4-25,310,askew,91548,6549,0,3,13,29,32,19,4,0.457593003,1
109,6.621232538,2022-4-26,311,heist,103153,6830,1,13,32,31,16,6,1,0.343684725,1
110,6.632513868,2022-4-27,312,shown,98967,6564,0,6,26,36,22,8,1,0.334617883,1
111,7.097579068,2022-4-28,313,zesty,88974,6315,0,2,12,27,30,22,7,0.228360936,1
112,6.564340097,2022-4-29,314,stash,106652,7001,2,19,34,27,13,4,1,0.421244645,2
113,7.371363362,2022-4-30,315,larva,77991,5749,0,2,10,25,35,23,4,0.414877046,2
114,7.338587138,2022-5-1,316,forgo,77658,5699,0,1,9,26,37,23,3,0.218959163,2
115,6.827472999,2022-5-2,317,story,95643,6530,1,10,23,29,24,11,2,0.383310083,1
116,6.92287076,2022-5-3,318,hairy,85817,5941,1,8,24,33,23,10,1,0.32178919,1
117,6.722041763,2022-5-4,319,train,107750,7243,6,26,32,22,10,3,0,0.479197443,1
118,7.342490608,2022-5-5,320,homer,85979,6313,0,3,16,26,24,19,12,0.38506962,1
119,7.185550254,2022-5-6,321,badge,76292,5482,0,4,20,35,26,12,2,0.215931126,1
120,7.028123237,2022-5-7,322,midst,74458,5233,0,3,25,39,24,9,1,0.30903341,1
121,7.247855705,2022-5-8,323,canny,72518,5256,0,2,10,30,34,20,4,0.324780261,2
122,6.910898214,2022-5-9,324,shine,88932,6146,1,14,32,30,17,6,1,0.399411769,1
123,7.376498414,2022-5-10,325,gecko,74412,5489,0,2,16,38,29,12,2,0.243026296,1
124,7.159580092,2022-5-11,326,farce,79446,5688,0,9,26,32,21,9,1,0.242096699,1
125,7.161074624,2022-5-12,327,slung,75673,5419,0,2,16,37,31,13,2,0.334324035,1
126,7.117355159,2022-5-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,0.372312187,1
127,7.224308638,2022-5-14,329,metal,73225,5290,1,10,31,34,18,7,1,0.352926889,1
128,7.394770171,2022-5-15,330,yield,67115,4963,0,4,16,29,29,18,4,0.268722852,1
129,7.577287159,2022-5-16,331,delve,68349,5179,0,2,14,32,33,16,2,0.296971372,2
130,7.270721982,2022-5-17,332,being,70722,5142,0,4,22,37,26,10,1,0.263501007,1
131,7.498681238,2022-5-18,333,scour,73933,5544,0,8,34,35,17,5,1,0.358676897,1
132,7.278623801,2022-5-19,334,glass,70920,5162,0,4,19,33,27,14,3,0.308669485,2
133,7.495277889,2022-5-20,335,gamer,69884,5238,1,4,17,28,26,18,6,0.357531552,1
134,7.443050858,2022-5-21,336,scrap,66814,4973,1,9,28,34,20,8,1,0.357926193,1
135,7.256770089,2022-5-22,337,money,67909,4928,1,7,26,36,21,8,1,0.316981531,1
136,7.385106351,2022-5-23,338,hinge,66431,4906,0,5,25,37,22,9,2,0.352307899,1
137,7.587567056,2022-5-24,339,album,63380,4809,0,5,26,35,24,9,1,0.436643027,1
138,7.708496086,2022-5-25,340,vouch,62723,4835,0,2,9,25,33,24,6,0.201652164,1
139,7.490346268,2022-5-26,341,asset,63188,4733,0,7,28,34,21,8,1,0.48736944,2
140,7.583873696,2022-5-27,342,tiara,63846,4842,0,8,36,33,17,6,1,0.477901319,2
141,7.594599544,2022-5-28,343,crept,60069,4562,0,4,27,38,22,7,1,0.315287599,1
142,7.802741076,2022-5-29,344,bayou,56839,4435,0,6,17,33,29,13,2,0.21207426,1
143,7.776082927,2022-5-30,345,atoll,60969,4741,0,6,28,36,21,8,1,0.468808953,2
144,7.650395106,2022-5-31,346,manor,62768,4802,0,6,27,34,21,10,2,0.353891113,1
145,7.58526905,2022-6-1,347,creak,63241,4797,0,5,21,32,25,14,3,0.357319725,1
146,7.784196612,2022-6-2,348,showy,61278,4770,0,2,16,37,30,13,2,0.328670446,1
147,7.575919671,2022-6-3,349,peach,65431,4957,1,13,38,32,13,3,0,0.343059394,1
148,7.606886017,2022-6-4,350,froth,58263,4432,0,5,22,35,25,11,1,0.245094521,1
149,7.629807184,2022-6-5,351,depth,56738,4329,0,6,28,39,20,6,1,0.262451029,1
150,7.777283765,2022-6-6,352,gloom,58478,4548,0,2,14,35,35,13,1,0.284824537,2
151,7.52657185,2022-6-7,353,flood,58991,4440,0,3,20,40,28,8,1,0.242373301,2
152,7.549241307,2022-6-8,354,trait,61026,4607,0,6,22,35,24,11,2,0.448733166,2
153,7.772409197,2022-6-9,355,girth,60020,4665,0,6,23,33,23,12,3,0.256342576,1
154,7.808436868,2022-6-10,356,piety,55376,4324,0,4,25,41,22,7,1,0.300531027,1
155,7.865968667,2022-6-11,357,goose,51958,4087,0,2,12,28,32,21,5,0.324522491,2
156,7.62649072,2022-6-12,358,float,56684,4323,1,12,30,32,18,6,1,0.239375889,1
157,7.698598565,2022-6-13,359,donor,53802,4142,0,3,27,38,23,7,1,0.323857937,2
158,7.940901814,2022-6-14,360,atone,59968,4762,2,16,34,29,14,4,1,0.501047147,1
159,7.842611942,2022-6-15,361,primo,55989,4391,0,3,22,38,25,10,2,0.30895622,1
160,7.696050908,2022-6-16,362,apron,53430,4112,0,7,30,38,19,5,1,0.474721532,1
161,7.776456599,2022-6-17,363,blown,54665,4251,0,6,23,35,26,10,1,0.215765623,1
162,8.687639021,2022-6-18,364,cacao,47205,4101,0,1,9,27,36,23,4,0.298213211,3
163,7.946314059,2022-6-19,365,loser,55359,4399,1,10,28,32,19,8,2,0.492255945,1
164,7.824261152,2022-6-20,366,input,50484,3950,0,5,30,38,21,6,1,0.354546898,1
165,7.862472348,2022-6-21,367,gloat,53342,4194,0,8,21,31,26,12,2,0.278181267,1
166,8.103683492,2022-6-22,368,awful,47645,3861,0,5,21,33,27,12,2,0.381337454,1
167,7.753572706,2022-6-23,369,brink,53111,4118,0,4,22,41,24,7,1,0.270431307,1
168,7.884702768,2022-6-24,370,smite,50617,3991,0,6,23,35,24,11,2,0.352261982,1
169,7.962854477,2022-6-25,371,beady,46089,3670,0,3,19,39,29,10,1,0.238542885,1
170,7.837462834,2022-6-26,372,rusty,50450,3954,0,9,37,34,13,5,1,0.436217166,1
171,8.019005543,2022-6-27,373,retro,47986,3848,0,6,24,35,24,9,1,0.477580565,2
172,8.124788637,2022-6-28,374,droll,47312,3844,0,2,16,31,31,17,3,0.299817291,2
173,8.669076569,2022-6-29,375,gawky,45645,3957,0,1,5,22,33,28,10,0.231670845,1
174,8.499954763,2022-6-30,376,hutch,44212,3758,0,1,12,28,28,21,9,0.285964193,2
175,8.025736539,2022-7-1,377,pinto,47248,3792,0,5,25,41,22,6,1,0.345453862,1
176,8.416137915,2022-7-2,378,egret,41765,3515,0,3,14,33,33,15,2,0.486028341,2
177,8.548634096,2022-7-3,379,lilac,40486,3461,0,2,17,38,29,12,1,0.430013876,2
